GrantNumber,OutputId,Title,Abstract,PersistentIdentifier,PublicationDate,RepositoryLink,RepositoryName
163292,C8A28656-98DA-4CFD-BEA3-00C3E83C431B,New soft robots really suck: Vacuum-powered systems empower diverse capabilities,"We introduce a vacuum-powered soft pneumatic actuator (V-SPA) that leverages a single, shared vacuum power supply and enables complex soft robotic systems with multiple degrees of freedom (DoFs) and diverse functions. In addition to actuation, other utilities enabled by vacuum pressure include gripping and stiffening through granular media jamming, as well as direct suction adhesion to smooth surfaces, for manipulation or vertical fixation. We investigate the performance of the new actuator through direct characterization of a 3-DoF, plug-and-play V-SPA Module built from multiple V-SPAs and demonstrate the integration of different vacuum-enabled capabilities with a continuum-style robot platform outfitted with modular peripheral mechanisms. We show that these different vacuum-powered modules can be combined to achieve a variety of tasks-including multimodal locomotion, object manipulation, and stiffness tuning-to illustrate the utility and viability of vacuum as a singular alternative power source for soft pneumatic robots and not just a peripheral feature in itself. Our results highlight the effectiveness of V-SPAs in providing core soft robot capabilities and facilitating the consolidation of previously disparate subsystems for actuation and various specialized tasks, conducive to improving the compact design efficiency of larger, more complex multifunctional soft robotic systems.A foam-based, vacuum-powered actuator enables a multifunctional soft robotic system.A foam-based, vacuum-powered actuator enables a multifunctional soft robotic system.",10.1126/scirobotics.aan6357,2017-08-30,https://drive.google.com/open?id=1P20Z8mmYUWRG7ZyAycW6bPGcgGG4Obdz,Robertson_ScienceRobotics
163292,E4870149-DC38-4A14-BF45-107BDB0360F7,"Design and Computational Modeling of a Modular, Compliant Robotic Assembly for Human Lumbar Unit and Spinal Cord Assistance","Wearable soft robotic systems are enabling safer human-robot interaction and are proving to be instrumental for biomedical rehabilitation. In this manuscript, we propose a novel, modular, wearable robotic device for human (lumbar) spine assistance that is developed using vacuum driven, soft pneumatic actuators (V-SPA). The actuators can handle large, repetitive loads efficiently under compression. Computational models to capture the complex non-linear mechanical behavior of individual actuator modules and the integrated assistive device are developed using the finite element method (FEM). The models presented can predict system behavior at large values of mechanical deformations and allow for rapid design iterations. It is shown that a single actuator module can be used to obtain a variety of different motion and force profiles and yield multiple degrees of freedom (DOF) depending on the module loading conditions, resulting in high system versatility and adaptability, and efficient replication of the targeted motion range for the human spinal cord. The efficacy of the finite element model is first validated for a single module using experimental results that include free displacement and blocked-forces. These results are then extended to encompass an extensive investigation of bio-mechanical performance requirements from the module assembly for the human spine-assistive device proposed.",10.1038/s41598-017-14220-3,2017-12-31,https://drive.google.com/open?id=1DzdQnlliDRTi2V3dbYOHptq_jLH8Renw,Agarwal_ScientificReports
163292,B321F2CF-F10F-4644-B069-17B92FE30FBE,Low-inertia vacuum-powered soft pneumatic actuator coil characterization and design methodology,"Recently developed soft pneumatic actuators (SPAs) powered by negative pressure have demonstrated great potential in the future of soft robotics for their high strength, intrinsic safety, low weight, and often simple design. The majority of these limited examples have only provided linear force and motion profiles, however, despite the general prevalence of bending actuators common to positive pressure powered SPAs. The benefits of such bending type SPAs follow from the direct production of moment and angular motion that are highly desirable for diverse robotic applications and activities, which allows more simple design of soft robots with complex motion behavior. Following this motivation, a new vacuum powered bending actuator is developed here as an extension of a previously presented vacuum powered actuator, the V-SPA, which features simple, lightweight material construction and rapid fabrication. Leveraging these attributes, an empirical study of a new Coil V-SPA performance is conducted across a spectrum of eight actuator prototypes. The force, speed, and stiffness of the actuators are characterized, and a generalized design metric, the Geometric Compression Ratio (GCR), is defined to quantify the relationship between physical geometric parameters of Coil V-SPAs. Finally, the results of testing reveal the new low-inertia actuator is capable of high-speed, and high-bandwidth motion, up to 0.97 m/s and 1.59 Hz, respectively.",10.1109/ROBOSOFT.2018.8405364,2018-04-01,https://drive.google.com/open?id=1QdcHbokL8biW1cpBc4_z7ZdQkreXsYwl,Robertson_RobosoftConf2018
180870,F6566BB9-5E87-4DB9-954B-383E2E6688EB,Data for: Immigration counter-acts local micro-evolution of a major fitness component: migration-selection balance in free-living song sparrows,"Ongoing adaptive evolution, and resulting ‘evolutionary rescue’ of declining populations, requires additive genetic variation in fitness. Such variation can be increased by gene flow resulting from immigration, potentially facilitating evolution. But, gene flow could in fact constrain rather than facilitate local adaptive evolution if immigrants have low additive genetic values for local fitness. Local migration-selection balance and micro-evolutionary stasis could then result. However, key quantitative genetic effects of natural immigration, comprising the degrees to which gene flow increases the total local additive genetic variance yet counter-acts local adaptive evolutionary change, have not been explicitly quantified in wild populations. Key implications of gene flow for population and evolutionary dynamics consequently remain unclear. Our quantitative genetic analyses of long-term data from free-living song sparrows (Melospiza melodia) show that mean breeding value for local juvenile survival to adulthood, a major component of fitness, increased across cohorts more than expected solely due to drift. Such micro-evolutionary change should be expected given non-zero additive genetic variance and consistent directional selection. However, this evolutionary increase was counter-acted by negative additive genetic effects of recent immigrants, which increased total additive genetic variance but prevented a net directional evolutionary increase in total additive genetic value. These analyses imply an approximate quantitative genetic migration-selection balance in a major fitness component, and hence demonstrate a key mechanism by which substantial additive genetic variation can be maintained yet decoupled from local adaptive evolutionary change.",doi:10.5061/dryad.rjdfn2z95,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.rjdfn2z95,Dryad
191105,B4EE2C1D-85C7-466B-87DD-2D419F69BE41,Dataset and code – Shisper glacier surge and sliding law,"This archive contains the code and data used to analyze and interpret the velocity maps and DEMs in the article by Beaud et al., Generalized sliding law applied to the surge dynamics of Shishper Glacier and constrained by timeseries correlation of optical satellite images, submitted to The Cryosphere for review.",https://doi.org/10.5281/zenodo.4624397,2021-03-19,https://zenodo.org/record/4624397#.Ybp29BN6ofg,Zenodo
183823,E0D50F67-3567-4978-9093-42E60AD9CF1F,A positively selected FBN1 missense variant reduces height in Peruvian individuals,nan,10.1038/s41586-020-2302-0,2020-06-13,https://www.ebi.ac.uk/gwas/publications/32499652,GWAS catalog
200044,AD41506F-6B84-4E79-80AA-27B848B667D4,"The HD 137496 system: A dense, hot super-Mercury and a cold Jupiter",nan,0000,,https://dace.unige.ch/radialVelocities/?pattern=HD%20137496,DACE
200044,DE1187CE-DB86-4CDD-977A-AC92704E2E63,TESS Delivers Five New Hot Giant Planets Orbiting Bright Stars from the Full-frame Images,nan,10.3847/1538-3881/abe38a,,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/161/194,Vizier
184483,AD7B9A8D-3519-4724-B09F-FA16C90943EA,"Dataset for ""Selective CO production from aqueous CO2 using a Cu96In4 catalyst and its integration into a bias-free solar perovskite-BiVO4 tandem device""",Porous dendritic copper-indium metal alloy foam catalysts are interfaced with a perovskite‖BiVO 4 tandem device for solar CO 2 -to-CO conversion under bias-free conditions using water as an electron donor.,https://doi.org/10.17863/CAM.56420,2020-10-14,https://www.repository.cam.ac.uk/handle/1810/309355,University of Cambridge data repository
184062,D23ECE53-DB28-4CD0-8B42-F9E71A248AD7,Data and code for Observation of fluctuation-mediated picosecond nucleation of a topological phase,nan,10.5281/zenodo.4017322,2021-01-05,https://doi.org/10.5281/zenodo.4017322,Zenodo
191497,A22AA239-D2F8-4DA6-9E88-FE4BA3E0E2A7,Trireme tool-chain,"The Trireme framework is a tool for automatically exploring hierarchical multi-level parallelism for domain specific hardware acceleration. Trireme identifies and selects HW accelerators directly from the application source files, while suggesting parallelism-related optimizations (Task Level, Loop Level and Pipeline Parallelism). It is built within LLVM9 compiler infrastructure and consists of Analysis Passes that estimate Software (SW) latency, Hardware (HW) latency, Area and I/O requirements. Subsequently, an exact selection algorithm selects the subset of HW accelerators that maximizes performance (speedup) under a user defined area (HW resources) budget.",https://zenodo.org/badge/latestdoi/387511771,2021-11-09,https://github.com/GiorgioZacharo/Trireme,Trireme
195156,E6B79F3F-76D8-42E3-A133-9EF13A633706,Glass transition temperature prediction of disordered molecular solids,nan,https://gitlab.mpcdf.mpg.de/materials/tg,2021-09-26,https://gitlab.mpcdf.mpg.de/materials/tg,Tg
168836,9B096FEB-7072-4C02-B8EE-9F03C40E33AD,Data supplement to: Laser ablation in situ silicon stable isotope analysis of phytoliths,"Silicon is a beneficial element for many plants, and is deposited in plant tissue as amorphous bio-opal (phytoliths). The biochemical processes of uptake and precipitation induce isotope fractionation: the mass-dependent shift in the relative abundances of the stable isotopes of silicon. At the bulk scale, the silicon isotope composition reported as δ30Si span from -2 to +6 ‰. To further constrain these variations, at the scale of individual phytolith fragments we applied in situ femtosecond laser ablation multicollector inductively coupled plasma mass spectrometry (fsLA-MC-ICP-MS) to a set of 7 natural phytolith samples.Two phytoliths samples (Norway spruce Picea abies and European beech Fagus sylvatica L.) were extracted from the organic-rich topsoil horizon (O) of two studies sites in Germany (Beerenbusch, close to village Rheinsberg and Wildmooswald, in the southern Black Forest). The other five phytolith samples (bushgrass Calamagrostis epigejos, common reed Phragmites australis, common horsetail Equisetum arvense, annual and perennial rough horsetail Equisetum hyemale) were separated from plant materials.The individual phytolith fragments were analysed by fsLA-MC-ICP-MS and Si isotope results are reported in the δ-notation (delta) as permil deviation relative to NIST SRM610, which is isotopically indistinguishable from the reference material NBS28 (quartz NIST SRM8546 alias NBS28, δ29Si ≡ 0 and δ30Si ≡ 0). Raw data processing and background corrections were made according to the protocol described in Schuessler and von Blanckenburg (2014) that also involves application of several data rejection/acceptance criteria. Of these, the most important ones are that A) only 30/28Si and 29/28Si ratios are used for the calculation which deviate less than 3 standard deviation from the mean and B) only results which follow the mass-depended terrestrial fractionation line in a three-isotope-plot of δ29Si vs. δ30Si within analytical uncertainties and C) have a mass bias drift between the two bracketing standards of less than 0.30 ‰ in 30/28Si are accepted and reported in this study.Detailed description of the sample origin, preparation steps, and the measurement protocol can be found in Frick, D. A.; Schuessler, J. A.; Sommer, M.; von Blanckenburg, F. (2018): Laser ablation in situ silicon stable isotope analysis of phytoliths. Geostandards and Geoanalytical Research. https://doi.org/10.1111/ggr.12243. With this supplement we aim to provide a comprehensive...",0000-0002-8530-3064,,http://doi.org/10.5880/GFZ.3.3.2018.002,GFZ Data Services
187857,3480BA0C-FD5A-489F-AA62-6261E01C1AC1,Dialect and leadership,"It includes the data used to produce the scientific outputs in this projects, i.e., the county-level socio-economic indicators, fiscal expenditures, and dialect information of the county leaders.",https://doi.org/10.7910/DVN/URZKTC,2020-09-16,https://doi.org/10.7910/DVN/URZKTC,Harvard Dataverse
171784,804571D2-2FF9-48C3-ADC5-18385E044428,"Carbon, nitrogen and radiocarbon data from permafrost cores of two small Arctic river deltas in northern Alaska","This data set describes the soil core and sample characteristics from the Ikpikpuk and Fish Creek river delta on the Arctic Coastal Plain in northern Alaska. The collection of the permafrost soil cores and the analysis of the samples are described in Fuchs et al. (2018). Sedimentary and geochemical characteristics of two small permafrost-dominated Arctic river deltas in northern Alaska.This data compilation consists of two data set. The first data set describes the properties of the collected permafrost soil cores from the Ikpikpuk river (IKP) and Fish Creek river (FCR) delta. This includes the coordinates of the nine coring locations, the field measurements of the active- and organic layer thickness at the coring locations, and the length of the collected permafrost core. In addition, soil organic carbon and soil nitrogen stocks and densities derived from the laboratory analyses for the reference depths 0-30 cm, 0-100 cm, 0-150 cm and 0-200 cm are presented in kg C m-2 and in kg C m-3.The second data set provides the raw laboratory data for all the samples of the nine collected permafrost cores in the Ikpikpuk and Fish Creek River Delta. All laboratory analyzes were carried out at the Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research, Potsdam.The third data set presents the results from the radiocarbon dating of chosen samples from five different permafrost cores. This includes the AMS radiocarbon date and the calibrated age of a sample. In addition, the sediment and organic carbon accumulation rates for the dated samples are included.This data set allows to calculate the total carbon and nitrogen storage in two small Arctic river deltas (IKP and FCR) for the first two meter of soil and enlarges the available permafrost cores for Arctic river delta deposits.",https://doi.org/10.1594/PANGAEA.890883,2018-07-05,www.pangaea.de,PANGAEA - Data Publisher for Earth & Environmental Science
158839,2DF1DA95-92B4-44F5-AC71-E140BE4CBF3D,“Maybe baby?” The employment risk of potential parenthood,nan,https://osf.io/s2et9/,2021-06-10,https://osf.io/s2et9/,Open Science Framework
181399,F933C649-53AF-487B-9125-27AC8E7A6440,The Global Diffusion of Environmental Clubs: How Pressure from Importing Countries Supports The Chemical Industry's Responsible Care Program,We added the data on Mendeley as part of our resubmission of the paper to World Development. I suspect the data will become online available once the article is published.,?,,www.mendeley.com,Mendeley
202505,E1EDA92D-F336-4A22-83D4-E0F9DFED7890,"Triathlon – auf der Strecke und darüber hinaus. Eine Ethnografie zur Erfahrung von Körper, Bewegung und Raum","Triathlon boomt. Der kräftezehrenden Verbindung von ­Schwim­men, Radfahren und Laufen verschreiben sich auch in der Schweiz immer mehr Menschen. Längst besitzt der Sport prominente Aushänge­schilder. Anbieter konkurrieren mit ­immer herausfordernderen Wettkämpfen und verschieben so die Machbarkeitsvorstellungen von Athletinnen und Athleten. Triathlon verändert den Alltag: Er wird zu einem umfassenden Lebensstil.Seiner Aufschlüsselung widmet sich dieses Buch aus einer kulturwissenschaftlich-anthropologischen Per­spektive. Die Autorin macht die eigenen Erfahrungen als Triathletin zum Ausgangspunkt einer ethnografischen Untersuchung. Sie gibt Einblicke in Selbstbilder, Körperkonzepte und Szenenwissen, in Emotionen und Rituale auf der Suche nach den Grenzvorstellungen und zeigt die Erfahrungsdimensionen von Körper, Bewegung und Raum im Rahmen dieser sportlichen Trias in ihrer Vielschichtigkeit auf.Was die Wechselzone und das Trainingslager mit methodischen Erhebungen zu tun haben, ist ebenso Thema wie Finisher-­T-Shirts, die eine Geschichte von vergangenen Leistungen erzählen. So hilft Babypuder nicht nur beim Anziehen eines ­Neoprens, sondern signa­lisiert Wissensbestände, Lebensstile und Exklusivität, durch die das Triathletendasein bezeugt wird. Die Studie fragt zudem, wie Leistungsvorstellungen, Streckenerleben und Technologien zusammenhängen, analysiert die entstehenden Bedeutungs­zuschreibungen, zeigt Varianten von Schmerzen auf und legt offen, wie der Ironman Hawaii zu einem modernen ­Mythos wer­den konnte.",10.33057/chronos.1607,2021-12-20,https://www.chronos-verlag.ch/public-download/3254,Chronos Verlag
201449,820A6C9F-869F-4ADF-B792-FD9207F3348F,abbreviatio. Historische Perspektiven auf ein rhetorisch-poetisches Prinzip,"Dieser Band versteht das literarische Verfahren der abbreviatio als einen bewussten Vorgang der Reduktion und als eine sinnstiftende Tätigkeit des Verdichtens umfangreicherer Bezugstexte. Er führt interdisziplinäre sowie komparatistische Perspektiven auf das rhetorisch-poetische Prinzip der Kürzung zusammen und arbeitet so über einzelne Textsorten hinausgehende Formen und Funktionen heraus.Anhand der Analyse antiker, mittelalterlicher und frühneuzeitlicher Texte profilieren die Beiträge systematische und historische Aspekte der literarischen Kürzung im Spannungsfeld von Latinität und Volkssprache.",DOI 10.24894/978-3-7965-4217-6,2021-06-10,https://www.schwabeonline.ch/schwabe-xaveropp/elibrary/start.xav#__elibrary__%2F%2F*%5B%40attr_id%3D%27978-3-7965-4217-6_productpage%27%5D__1623675074193,Schwabe Verlag eLibrary
167912,65A58412-4C4B-463D-8CFD-A1D713B03612,Code for controlling robot,"ndustrial Work Assistant, IIWA - KUKA, Augsburg, Germany) to position objects in a large three-dimensional work space and safely interact with primates. The software package is configured as a finite state machine. Specifically, the robot moves the end effector to a set of pre-determined positions in space using standard impedance joint control strategy. When the position is reached, the finite state machine switches to mass-spring damper behaviour. Stiffness and damping parameters are entirely definable by the user and can be easily modified. The three-dimensional pulling force is continuously monitored and recorded. When the end-effector is pulled across a predetermined virtual border, the robot returns to the starting position where it waits for the next target position.",10.5281/zenodo.3234139,,https://zenodo.org/record/3234139#.Xd1s8S2ZNo4,Zenodo
173959,4386C23B-480C-4636-AEF9-263B15721FD6,E-MTAB-8760,"Here we describe the development of a robust method for RNA extraction and exome-capture RNA-sequencing of laser-capture microdissected (LCM) tumor cells (TC) and stromal immune cells (TIL) based on their morphology. We applied this method on seven tumor specimens and microbiopsies of triple-negative breast cancers (TNBC) stored in FFPE blocks. Together, we showed that combining LCM and RNA-sequencing on archived FFPE blocks is feasible and allows spatial transcriptional characterization of the tumor microenvironment.",https://doi.org/10.1101/2020.01.31.928143,2021-01-26,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8760/,Array Express database
180010,C29983AC-34AC-4F1A-96E1-6C5C18689D64,Single-cell RNA-seq of sorted CD8+ T cells from B16 melanoma tumors,nan,GSE116390,2019-10-10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116390,GEO
180010,DA3B518B-0F5A-4FFB-B15B-3B6EE1CF2A6C,"Murine reference single-cell atlas of virus-specific CD8 T cells, version",nan,https://doi.org/10.6084/m9.figshare.12489518.v1,2020-06-16,https://doi.org/10.6084/m9.figshare.12489518.v1,Figshare
180010,10A745CF-AA5A-4EE4-B2AA-1A0D243A4D1D,Murine reference single-cell atlas of tumor-infiltrating T cells,nan,https://doi.org/10.6084/m9.figshare.12478571,2020-06-15,https://doi.org/10.6084/m9.figshare.12478571,Figshare
168223,11B18050-5407-4979-A362-D2DCD4B93B18,Data from: Thin-film structural coloration from simple fused scales in moths,Data from: Thin-film structural coloration from simple fused scales in moths,10.5061/dryad.rd3p70d,2019-01-08,https://datadryad.org/stash/dataset/doi:10.5061/dryad.rd3p70d,Dryad
168043,4B436BD5-6A90-4394-A625-E21D1962D109,Facile and Efficient Synthesis of 3-Pyrimidinyl Oxindoles by Phase-Transfer-Catalyzed Regioselective Nucleophilic Aromatic SubstitutionFacile and Efficient Synthesis of 3-Pyrimidinyl Oxindoles by Phase-Transfer-Catalyzed Regioselective Nucleophilic Aromatic Substitution,nan,10.1002/ejoc.201800587,2018-08-23,https://chemistry-europe.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fejoc.201800587&file=ejoc201800587-sup-0001-SupMat.pdf,Wiley
205258,622A30A9-51FE-4BB4-9336-2D36B15EF699,L'Ombre du geste,"Ce livre met en exergue ce qui se loge dans l’ombre du geste dansant à partir d’une ethnographie des processus de création de trois compagnies suisses : Nicole Seiler, Massimo Furlan/Numéro23Prod, deRothfils. L’anthropologue s’est intéressée au processus de fabrication d’oeuvres chorégraphiques qui abordent des questions existentielles. Angoisse, solitude, rapports entre morts et vivants, ces performances mettent en scène des ombres sous la forme d’esprits, de fantômes et de monstres. Enrichie par une pratique personnelle de la danse, cette recherche est née d’une anthropologie phénoménologique. La proximité avec les danseur.euse.s et chorégraphes a introduit la chercheuse au coeur des préoccupations de la création chorégraphique, et l’a amenée à partager les joies et les douleurs des corps affectés. En dialogue avec les études en danse, cet ouvrage contribue aux théories sociales du corps et des sensations.",ISBN	9782825712740,2022-02-15,https://www.georg.ch/l-ombre-du-geste,Georg éditeur
201503,FDD949C5-FC7A-4188-935E-D0873CA74822,People Analytics in privatrechtlichen Arbeitsverhältnissen,"This legal dissertation is dedicated to the topic of people analytics in private law employment relationships. People Analytics refers to the practice of personnel development in which digital data from internal and external sources relating to human capital are systematically evaluated using information technology in order to make decisions that increase the value of a company. The author begins by identifying the differences between people analytics and older forms of monitoring in the workplace as well as the resulting legal problems. After considering the various applicable fields of law, he focuses on the analysis of employment and data protection law. Key findings include the following three facts: that data protection regulations, which are predominantly procedural in nature, must be interpreted in a risk-oriented manner; that, in the work context, consent should be avoided as a reason to justify data processing; and that there are deficiencies in the enforcement of data protection in private law. Based on this, the author develops an improvement concept aimed at professionalising and democratising data protection law. He contrasts his theoretical considerations with the empirical data that he has collected as part of an interdisciplinary research project. In addition to the existing Swiss Data Protection Act, this dissertation takes into account the proposals for the future, fully revised Swiss Data Protection Act, the EU General Data Protection Regulation and selected aspects of US data protection law.The dissertation has won the Stefano Rodotà Award of the Council of Europe and the Professor Walther Hug Prize.",https://doi.org/10.3256/978-3-03929-009-3,2021-08-30,https://www.alexandria.unisg.ch/262428/,Alexandria
159958,84A50741-56E5-4CAD-A60F-D0C32C5029F0,Morphogenesis of phototrophic biofilms is controlled by hydraulic constraints and enabled by architectural plasticity,We used flume experiments and optical coherence tomography to study the morphogenesis of phototrophic biofilms along a hydraulic gradient. We used 16 S and 18S rRNA amplicon sequencing to characterize biofilm community composition.,PRJEB39886,2020-08-12,https://www.ebi.ac.uk/ena/browser/view/PRJEB39886,European Nucleotide Archive
159958,7E230385-8469-4EEC-BAA9-E549E28F667F,Notebooks for Morphogenesis of phototrophic biofilms is controlled by hydraulic constraints and enabled by architectural plasticity,"We obtained time-series of OCT scans reporting the structural development of phototrophic benthic biofilms in a open-channel flume experiment in raw lake water. Growth conditions and materials are reported in the relative publication. OCT scans at two lateral resolutions (40 um, 40 um, 2.18 um x,y,z respectivey) and (11.1 um ,11.1 um and 2.18 um) were taken every 3 days in a 15 days experiment. 66 x 3 low resolution (LR) scans covered an area of 0.4 m x 0.025 m in a tiled pattern. 3 x 3 high resolution (HR) scans were taken at the extremes of the same area of interest. These are labeled as slow-flow morphotype (SFM, or B5) and and fast-flow morphotype (FFM, or B1), to indicate the respective contrasting flow velocity conditions. The experiment was conducted in duplicate. Authomated OCT scans acquisition was done with the system descibed in (Depetris et al. 2019, Automated 3D Optical Coherence Tomography to Elucidate Biofilm Morphogenesis Over Large Spatial Scales, JoVE, 10.3791/59356). Data are available on Figshare (accession number).This project contains jupyter notebooks for image acquisition, processing, analysis, as well as the analysis of the profiles.",?,2020-08-12,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3681993,GitLab
163223,D6E7E0E6-4ED4-4FD4-BDCB-0503E1F07ED8,Seed dispersal,This file contains the Matlab code for the supplementary material to LPJ-GM 1.0: Simulating migration efficiently in a dynamic vegetation model. Code for the supplementary material for LPJ-GM 1.0: Simulating migration efficiently in a dynamic vegetation model,doi:10.18161/seed_disp_code_2018,2019-03-04,https://dataguru.lu.se,DataGURU
153564,5E9C3516-8100-4C5F-8230-10BCE3C5B153,Motion-correction enabled ultra-high resolution in-vivo 7T-MRI of the brain,nan,DOI 10.17605/OSF.IO/63QJK,,https://osf.io/63qjk/,OSF
157040,40BAC2FC-E885-4F2A-A5E2-D554E5A3FC2D,Dataset In-vivo probabilistic atlas of human thalamic nuclei based on diffusion weighted magnetic resonance imaging,"This is the dataset related to the paper ""In-vivo probabilistic atlas of human thalamic nuclei based on diffusion weighted magnetic resonance imaging"" submitted to Scientific Data - Nature, by E. Najdenovska*, Y. Aléman-Gómez*, G. Battistella, M. Descoteaux, P. Hagmann, S. Jacquemont, P. Maeder, J.-P. Thiran, E. Fornari and M. Bach Cuadra (*Equally contributed authors).We provide NifTI-1 files representing a digital atlas of seven thalamic subparts per hemisphere. More precisely, the files include the spatial probabilistic atlas maps for each thalamic subpart (Thalamus_Nuclei-HCP-4DSPAMs.nii.gz) and the maximum likelihood atlas (Thalamus_Nuclei-HCP-MaxProb.nii.gz) in MNI space. The region corresponding to each labeled thalamic part respectively is given in the look-up table Thalamic_Nuclei-ColorLUT.txt. The NIFTI files can be visualised with the main available tools such as tkmedit, freeview or 3D-Slicer.We also provide a step by step pseudo code for creating the atlas.This work is currently in restricted access for revision purposes. The work will be publicly available under CC BY license after acceptance of the paper.",https://doi.org/10.5281/zenodo.1405484,,https://zenodo.org/record/1405484#.W7OZqTOB2EI,Zenodo
168043,05DA5D81-B137-4F0A-BA78-DED6959DB659,"Supporting Information for ''Synthesis, Characterization, and Reactivity of a Hypervalent‐Iodine‐Based Nitrooxylating Reagent''",nan,10.1002/anie.202005720,2020-09-21,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fanie.202005720&file=anie202005720-sup-0001-misc_information.pdf,Wiley
168043,4C31ADBF-4A6E-4F2B-B437-DD3BCF0F95B0,Supporting Information for ''Synthetic Diversity from a Versatile and Radical Nitrating Reagent'',nan,10.1002/chem.201902966,2019-08-20,https://chemistry-europe.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fchem.201902966&file=chem201902966-sup-0001-misc_information.pdf,Wiley
179887,06BC4E37-6C93-47AD-AB57-D7C7695F74BF,Terbium(III)-bound de novo TIM barrel-ferredoxin fold fusion dimer with 4-glutamate binding site and tryptophan antenna (TFD-EE N6W),Crystal structure,10.2210/pdb6ZV9/pdb,2020-11-25,https://www.rcsb.org/structure/6ZV9,RCSB Protein Data Bank
174032,0D5243C3-0244-4042-A6FF-D529D06C063D,Expression profiling by high throughput sequencing,Examination of two batches for a total of 5347 single-cell transcriptomes from E15.5 C57Bl/6 developing retinas.,GSE122466,2019-08-23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122466,GEO datasets
180114,ECE707C9-05B8-4B53-A6FC-EA69577813C2,optimal-frames,Source code of the reference frame optimization.,https://github.com/tobguent/optimal-frames,2019-07-24,https://github.com/tobguent/optimal-frames,optimal-frames
154911,87B0D783-16A9-4275-9A35-D1A2D5F92C9C,Data reported in Langerock et al. (2018),nan,https://osf.io/dza6q/,2018-03-15,https://osf.io/dza6q/,Open Science Framework
183777,19B1FD90-3AB9-438E-B0B3-85EE687EDEA6,Pre-processed B cell receptor repertoire sequencing data from BioProject PRJNA527941,nan,10.5281/zenodo.3585046,2019-04-15,https://zenodo.org/record/3585046#.XhRZCi2ZPUJ,PRJNA527941
185806,488F6441-08A8-4161-8019-82AAA13EA881,Euler Class Tight-Binding,"Supplementary code.Implementation in Wolfram Mathematica of an algorithm that generates real symmetric tight-binding models (3-band and 4-band) for fixed arbitrary Euler class based on the Plücker embedding. This is a companion to the theoretical work ""Geometric approach to fragile topology beyond symmetry indicators"", arxiv:2005.02044.",https://doi.org/10.5281/zenodo.3856566,2020-05-26,https://doi.org/10.5281/zenodo.3856566,GitHub
185806,63E87E88-DC0B-405E-8FE2-93F6D5673349,Data and code for: Multi-band nodal links in triple-point materials,Supplementary data and code.In this data collection we provide code and data used to obtain the results discussed in the main publication.,https://doi.org/10.3929/ethz-b-000423924,2021-03-01,https://doi.org/10.3929/ethz-b-000423924,ETH Zürich Research Collection
188235,96D5E901-14AC-45DF-A911-5F5A0AB143CF,"Replication Data for Political or Financial Benefits? Ideology, Tenure, and Parliamentarians’ Choice of Interest Group Tie",nan,10.1111/spsr.12391,2020-03-11,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fspsr.12391&file=spsr12391-sup-0002-Supinfo.zip,Swiss Political Science Review
148696,7E95A0B6-499B-415C-AC29-A2A360CDD9A4,Visualizations of the Network Analysis of Königsfelden Abbey,"Visualizations produced from networks regarding the production of charters in and for Königsfelden Abbey. A commented version of all networks is added as PDF file: modularity-and-networks.pdf. The referenced numbers of people can be found as PDF file: kf-personenliste.pdf. The data used, is published online: https://doi.org/10.5281/zenodo.632560",https://doi.org/10.5281/zenodo.3360660,2019-05-04,https://doi.org/10.5281/zenodo.3360660,ZENODO
191725,7D4EACB7-D615-488D-9EA9-13F684BA21DC,The Influence of Chronic Caffeine Consumption and Sleep Restriction on Adenosine and Brain Morphometry in Humans: A PET-MR Study,"The link destination contains documents relevant to the final results of the project, including:1. Datasets* MRI datasets: extracted mean responses of the ROI (significant regions from whole-brain analysis) and the controlled covariates.* PET datasets: the BPND and VT of all brain regions* Salivary caffeine data: the salivary caffeine and paraxanthine levels quantified by LCMS2. Demography and related timing information* VP: demographic data* Post-treament_timing: the detailed time differences between each measurement (salivary sample and PET/MR scan) and the last caffeine intake3. Presentation documents:* Presentation on methods* Presentation on results* Presentation in Departmental Seminar",doi.org/10.17605/OSF.IO/83VQJ,,https://osf.io/wb8c6/?view_only=48816703f8ed41f48eda2addafe7e1b8,The Open Science Framework (OSF)
178105,FF4AB409-94F7-4D4A-A420-45D17F6E5853,DEx: A Database of Dramatic Extracts,nan,https://dex.itercommunity.org,,https://dex.itercommunity.org,DEx: A Database of Dramatic Extracts
